Start_Layer,End_Layer,latency_ms
3_conv1_bn,135_conv4_block6_1_relu,214293.85
3_conv1_bn,136_conv4_block6_2_conv,220628.48
3_conv1_bn,137_conv4_block6_2_bn,220815.53
3_conv1_bn,138_conv4_block6_2_relu,220919.28
3_conv1_bn,139_conv4_block6_3_conv,222801.63
3_conv1_bn,140_conv4_block6_3_bn,223549.36
3_conv1_bn,141_conv4_block6_add,223962.2
3_conv1_bn,142_conv4_block6_out,224375.22
3_conv1_bn,143_conv5_block1_1_conv,225977.25
3_conv1_bn,144_conv5_block1_1_bn,226070.24
3_conv1_bn,145_conv5_block1_1_relu,226122
3_conv1_bn,146_conv5_block1_2_conv,228882.27
3_conv1_bn,147_conv5_block1_2_bn,228975.53
3_conv1_bn,148_conv5_block1_2_relu,229027.41
3_conv1_bn,149_conv5_block1_0_conv,230217.33
3_conv1_bn,150_conv5_block1_3_conv,230629.19
3_conv1_bn,151_conv5_block1_0_bn,230590.59
3_conv1_bn,152_conv5_block1_3_bn,231004.72
4_conv1_relu,5_pool1_pad,414.64
4_conv1_relu,6_pool1_pool,1641.89
4_conv1_relu,7_conv2_block1_1_conv,2541.78
4_conv1_relu,8_conv2_block1_1_bn,3288.62
4_conv1_relu,9_conv2_block1_1_relu,11635.07
4_conv1_relu,10_conv2_block1_2_conv,11728.31
4_conv1_relu,11_conv2_block1_2_bn,12475.04
4_conv1_relu,12_conv2_block1_2_relu,12888.43
4_conv1_relu,13_conv2_block1_0_conv,1735.14
4_conv1_relu,14_conv2_block1_3_conv,15894.57
4_conv1_relu,15_conv2_block1_0_bn,4495.41
4_conv1_relu,16_conv2_block1_3_bn,18882.57
4_conv1_relu,17_conv2_block1_add,19295.41
4_conv1_relu,18_conv2_block1_out,20941.73
4_conv1_relu,19_conv2_block2_1_conv,23701.75
4_conv1_relu,20_conv2_block2_1_bn,26462.29
4_conv1_relu,21_conv2_block2_1_relu,26876.44
4_conv1_relu,22_conv2_block2_2_conv,26980.21
4_conv1_relu,23_conv2_block2_2_bn,29740.5
4_conv1_relu,24_conv2_block2_2_relu,32728.5
4_conv1_relu,25_conv2_block2_3_conv,35749.99
4_conv1_relu,26_conv2_block2_3_bn,38728.4
4_conv1_relu,27_conv2_block2_add,39141.24
4_conv1_relu,28_conv2_block2_out,40791.99
4_conv1_relu,29_conv2_block3_1_conv,40895.71
4_conv1_relu,30_conv2_block3_1_bn,40947.45
4_conv1_relu,31_conv2_block3_1_relu,41361.28
4_conv1_relu,32_conv2_block3_2_conv,41547.7
4_conv1_relu,33_conv2_block3_2_bn,44307.97
4_conv1_relu,34_conv2_block3_2_relu,44721.85
4_conv1_relu,35_conv2_block3_3_conv,47714.04
4_conv1_relu,36_conv2_block3_3_bn,50677.19
4_conv1_relu,37_conv2_block3_add,51090.04
4_conv1_relu,38_conv2_block3_out,53850.3
4_conv1_relu,39_conv3_block1_1_conv,55817.18
4_conv1_relu,40_conv3_block1_1_bn,56003.78
4_conv1_relu,41_conv3_block1_1_relu,57489.82
4_conv1_relu,42_conv3_block1_2_conv,63920.65
4_conv1_relu,43_conv3_block1_2_bn,66680.92
4_conv1_relu,44_conv3_block1_2_relu,66888.42
4_conv1_relu,45_conv3_block1_0_conv,56610.57
4_conv1_relu,46_conv3_block1_3_conv,69306.07
4_conv1_relu,47_conv3_block1_0_bn,58103.83
4_conv1_relu,48_conv3_block1_3_bn,75640.48
4_conv1_relu,49_conv3_block1_add,76053.32
4_conv1_relu,50_conv3_block1_out,76877.84
4_conv1_relu,51_conv3_block2_1_conv,79153.17
4_conv1_relu,52_conv3_block2_1_bn,79526.32
4_conv1_relu,53_conv3_block2_1_relu,85531.3
4_conv1_relu,54_conv3_block2_2_conv,91959.52
4_conv1_relu,55_conv3_block2_2_bn,92333.11
